,Brand,Clockspeed,Model,Series
1259,Intel,2.6,,Core i7 6700HQ
1260,Intel,2.3,,Core i5 6200U
1261,Intel,0.9,,Core M 6Y30
1262,Intel,2.4,,Core i3 7100U
1263,Intel,1.6,,Celeron Dual Core N3060
1264,Intel,1.6,,Celeron Dual Core N3050
1265,Intel,2.6,,Core i7 6700HQ
1266,AMD,2.9GHz,9410,A9-Series
1267,Intel,2.7,,Core i7 7500U
1268,Intel,1.6,,Celeron Dual Core N3060
1269,Intel,2.5,,Core i7 6500U
1270,Intel,2.5,,Core i7 6500U
1271,Intel,2.5,,Core i7 6500U
1272,Intel,1.6,,Celeron Dual Core N3050
1273,Intel,2.5,,Core i7 6500U
1274,Intel,1.6,,Celeron Dual Core N3050
1275,Intel,0.9,,Core M 6Y30
1276,Intel,2.4,,Core i3 7100U
1277,Intel,1.6,,Celeron Dual Core N3060
1278,Intel,1.6,,Celeron Dual Core N3050
1279,Intel,2.6,,Core i7 6700HQ
1280,AMD,2.9GHz,9410,A9-Series
1281,Intel,2.7,,Core i7 7500U
1282,Intel,1.6,,Celeron Dual Core N3060
1283,Intel,2.5,,Core i7 6500U
1284,Intel,2.5,,Core i7 6500U
1285,Intel,2.5,,Core i7 6500U
1286,Intel,1.6,,Celeron Dual Core N3050
1287,Intel,2.5,,Core i7 6500U
1288,Intel,1.6,,Celeron Dual Core N3050
1289,Intel,0.9,,Core M 6Y30
1290,Intel,2.4,,Core i3 7100U
1291,Intel,1.6,,Celeron Dual Core N3060
1292,Intel,1.6,,Celeron Dual Core N3050
1293,Intel,2.6,,Core i7 6700HQ
1294,AMD,2.9GHz,9410,A9-Series
1295,Intel,2.7,,Core i7 7500U
1296,Intel,1.6,,Celeron Dual Core N3060
1297,Intel,2.5,,Core i7 6500U
1298,Intel,2.5,,Core i7 6500U
1299,Intel,2.5,,Core i7 6500U
1300,Intel,1.6,,Celeron Dual Core N3050
1301,Intel,2.5,,Core i7 6500U
1302,Intel,1.6,,Celeron Dual Core N3050
